Saccharomyces cerevisiae,Rhodosporidium toruloides,CS,EL,Trees,phylome,ensembl,orthomcl,treefam,eggnog,hogenom
YGR258C,RHTO_00405,0.667,1,3,1.00/2,,,,,
YBL069W,RHTO_04635,1,1,2,1.00/2,,,,,
YPR045C,RHTO_02017,1,2,3,1.00/2,,,,,
YDR044W,RHTO_03472,1,2,3,1.00/2,,,,,
YDL178W,RHTO_02645,0.6,2,5,0.50/4,,,,,
YFL059W,RHTO_04321,1,2,3,1.00/2,,,,,
YLR075W,RHTO_02290,1,2,3,1.00/2,,,,,
YDL148C,RHTO_07207,1,2,3,1.00/2,,,,,
YBL060W,RHTO_07002,1,1,2,1.00/2,,,,,
YPL037C,RHTO_01402,1,2,3,1.00/2,,,,,
YPR188C,RHTO_05926,0.5,1,2,0.50/2,,,,,
YNL113W,RHTO_05811,1,2,5,1.00/4,,,,,
YNR046W,RHTO_06103,1,2,3,1.00/2,,,,,
YNL040W,RHTO_07744,1,1,1,,,,,,
YOR209C,RHTO_06843,1,2,3,1.00/2,,,,,
YDR472W,RHTO_05376,1,2,3,1.00/2,,,,,
YIL035C,RHTO_06481,1,1,2,1.00/2,,,,,
YPL230W,RHTO_02693,1,1,1,,,,,,
YIR022W,RHTO_07743,1,2,3,1.00/2,,,,,
YIR009W,RHTO_03607,0.667,1,3,1.00/2,,,,,
YLL008W,RHTO_04802,0.92,2,25,0.92/24,,,,,
YEL071W,RHTO_02645,0.6,2,5,0.50/4,,,,,
YHR132W-A,RHTO0S_12e01266g,1,1,1,,,,,,
YEL064C,RHTO_03539,1,2,5,1.00/4,,,,,
YBL050W,RHTO0S_09e03862g,1,2,3,1.00/2,,,,,
YGL083W,RHTO_07488,1,1,1,,,,,,
YOR303W,RHTO_06321,1,1,1,,,,,,
YPR129W,RHTO_01850,1,1,1,,,,,,
YLR189C,RHTO_07138,1,1,2,1.00/2,,,,,
YDR341C,RHTO_02671,0.667,1,3,1.00/2,,,,,
YDR479C,RHTO_01666,1,1,1,,,,,,
YKL196C,RHTO_01157,1,2,3,1.00/2,,,,,
YAL054C,RHTO_08027,1,2,5,1.00/4,,,,,
YLR275W,RHTO0S_14e02630g,0.667,2,3,0.50/2,,,,,
YDR088C,RHTO_04378,1,1,1,,,,,,
YGL150C,RHTO_03555,0.714,2,7,0.67/6,,,,,
YNL255C,RHTO_01199,1,1,1,,,,,,
YDR502C,RHTO_07080,0.667,1,3,1.00/2,,,,,
YPL076W,RHTO_01736,1,1,1,,,,,,
YOR039W,RHTO_00437,0.8,2,5,0.75/4,,,,,
YPL015C,RHTO_00803,1,2,3,1.00/2,,,,,
YDR108W,RHTO_04744,1,1,1,,,,,,
YER172C,RHTO_00568,1,1,4,1.00/4,,,,,
YBR073W,RHTO_03773,0.8,1,5,1.00/4,,,,,
YEL062W,RHTO_03203,1,1,1,,,,,,
YDR267C,RHTO_06255,1,2,5,1.00/4,,,,,
YER148W,RHTO0S_10e07558g,1,2,3,1.00/2,,,,,
YPR100W,RHTO_01267,1,1,1,,,,,,
YBR035C,RHTO_03660,0.667,1,3,1.00/2,,,,,
YJL115W,RHTO_03743,1,2,3,1.00/2,,,,,
YOR134W,RHTO_04167,0.667,1,3,1.00/2,,,,,
YPR029C,RHTO_01496,0.6,2,5,0.50/4,,,,,
YBL024W,RHTO_01493,0.667,1,3,1.00/2,,,,,
YBR173C,RHTO_06685,1,1,1,,,,,,
YLR304C,RHTO_00539,0.778,2,9,0.75/8,,,,,
YLR216C,RHTO_05872,0.75,1,12,0.75/12,,,,,
YNL202W,RHTO_06252,1,2,13,1.00/12,,,,,
YIL088C,RHTO_02128,1,2,3,1.00/2,,,,,
YGR233C,RHTO_02991,1,2,3,1.00/2,,,,,
YMR290C,RHTO_01251,1,2,17,1.00/16,,,,,
YKL004W,RHTO_06200,0.667,1,3,1.00/2,,,,,
YDR182W,RHTO_06560,1,1,1,,,,,,
YBR110W,RHTO_08101,1,2,3,1.00/2,,,,,
YLR310C,RHTO_07651,1,1,1,,,,,,
YBR136W,RHTO_05595,1,2,3,1.00/2,,,,,
YGL225W,RHTO_04948,1,2,3,1.00/2,,,,,
YDL019C,RHTO_06360,0.6,2,5,0.50/4,,,,,
YOR007C,RHTO_04157,1,1,1,,,,,,
YLR088W,RHTO_03645,1,2,3,1.00/2,,,,,
YJL087C,RHTO_01469,1,2,3,1.00/2,,,,,
YDR452W,RHTO_03914,1,1,1,,,,,,
YDR075W,RHTO_01241,1,2,15,1.00/14,,,,,
YJR057W,RHTO_02875,1,2,3,1.00/2,,,,,
YNL055C,RHTO_07648,1,2,3,1.00/2,,,,,
YKR071C,RHTO_04686,1,1,1,,,,,,
YHR188C,RHTO_03857,1,2,3,1.00/2,,,,,
YGL001C,RHTO_01752,0.667,1,3,1.00/2,,,,,
YBR236C,RHTO_02766,1,2,3,1.00/2,,,,,
YJR137C,RHTO_02113,1,2,3,1.00/2,,,,,
YOR095C,RHTO_06311,1,2,5,1.00/4,,,,,
YJR051W,RHTO_01560,0.667,1,3,1.00/2,,,,,
YJR088C,RHTO_06486,1,2,3,1.00/2,,,,,
YOL122C,RHTO_05233,1,1,2,1.00/2,,,,,
YKR087C,RHTO_04790,1,2,3,1.00/2,,,,,
YIL007C,RHTO_06332,1,2,3,1.00/2,,,,,
YNL065W,RHTO_04612,1,1,1,,,,,,
YIR031C,RHTO_01459,0.667,1,3,1.00/2,,,,,
YGR246C,RHTO_02228,1,1,1,,,,,,
YLL040C,RHTO_04750,0.667,1,3,1.00/2,,,,,
YML014W,RHTO_04237,1,2,3,1.00/2,,,,,
YHR123W,RHTO_00276,1,2,3,1.00/2,,,,,
YLR116W,RHTO_06335,1,2,3,1.00/2,,,,,
YNL071W,RHTO_03543,0.6,2,5,0.50/4,,,,,
YPR111W,RHTO_05360,1,2,5,1.00/4,,,,,
YLR024C,RHTO_05429,0.667,1,3,1.00/2,,,,,
YGL233W,RHTO_04978,0.667,1,3,1.00/2,,,,,
YJR097W,RHTO_06039,1,1,2,1.00/2,,,,,
YKL035W,RHTO_06551,0.667,1,3,1.00/2,,,,,
YDR087C,RHTO_00003,1,1,1,,,,,,
YBR192W,RHTO_04787,0.8,1,5,1.00/4,,,,,
YOR056C,RHTO_07197,1,2,3,1.00/2,,,,,
YDR032C,RHTO_07025,0.667,1,3,1.00/2,,,,,
YIL113W,RHTO_04634,1,1,1,,,,,,
YBR181C,RHTO_04325,1,2,4,1.00/2,1.00/2,,,,
YOL022C,RHTO_04159,1,1,1,,,,,,
YOR026W,RHTO_00677,0.8,1,5,1.00/4,,,,,
YBR186W,RHTO_05391,1,2,3,1.00/2,,,,,
YOR308C,RHTO_00787,1,1,2,1.00/2,,,,,
YGR204W,RHTO_02988,0.667,1,3,1.00/2,,,,,
YBR103W,RHTO_07388,1,2,3,1.00/2,,,,,
YJL084C,RHTO_08035,1,1,1,,,,,,
YIL063C,RHTO_02515,1,1,1,,,,,,
YJR096W,RHTO_07387,0.667,1,24,0.67/24,,,,,
YMR171C,RHTO_07942,1,1,1,,,,,,
YNL041C,RHTO_07484,1,1,1,,,,,,
YDL136W,RHTO_06792,1,2,4,1.00/2,1.00/2,,,,
YOL100W,RHTO_07033,1,1,2,1.00/2,,,,,
YPL048W,RHTO_03922,1,1,2,1.00/2,,,,,
YFL034C-A,RHTO_03161,1,2,3,1.00/2,,,,,
YLR193C,RHTO_05331,1,2,3,1.00/2,,,,,
YGL220W,RHTO_00543,0.6,2,5,0.50/4,,,,,
YGR245C,RHTO_01088,1,2,3,1.00/2,,,,,
YLR452C,RHTO_04908,1,2,3,1.00/2,,,,,
YDR468C,RHTO_00730,1,1,1,,,,,,
YKL084W,RHTO_01900,1,1,2,1.00/2,,,,,
YNR032W,RHTO_06097,0.8,1,15,0.86/14,,,,,
YBR080C,RHTO_06548,1,2,5,1.00/4,,,,,
YDR533C,RHTO_04781,1,1,2,1.00/2,,,,,
YMR240C,RHTO_07059,1,1,1,,,,,,
YER073W,RHTO_05838,1,2,17,1.00/16,,,,,
YLR239C,RHTO_05417,1,2,3,1.00/2,,,,,
YNL128W,RHTO_04080,1,1,1,,,,,,
YMR253C,RHTO_04899,1,2,3,1.00/2,,,,,
YNL029C,RHTO_03938,1,1,4,1.00/4,,,,,
YPL266W,RHTO_03304,1,2,3,1.00/2,,,,,
YLR245C,RHTO_05708,1,1,1,,,,,,
YOR094W,RHTO_06645,0.867,1,15,0.93/14,,,,,
YDR080W,RHTO_01104,1,2,3,1.00/2,,,,,
YLR293C,RHTO_07359,1,2,3,1.00/2,,,,,
YOL123W,RHTO_03313,1,2,5,1.00/4,,,,,
YDL209C,RHTO_00454,1,2,3,1.00/2,,,,,
YJR109C,RHTO_04703,1,2,3,1.00/2,,,,,
YDR388W,RHTO_08104,0.5,1,4,0.50/4,,,,,
YDR263C,RHTO_02300,1,1,1,,,,,,
YDR145W,RHTO_07906,1,1,1,,,,,,
YOR003W,RHTO_05541,1,1,4,1.00/4,,,,,
YOR327C,RHTO_01376,1,2,3,1.00/2,,,,,
YLR084C,RHTO_06282,1,1,1,,,,,,
YER060W,RHTO_07997,0.667,1,3,1.00/2,,,,,
YLR109W,RHTO_06286,1,1,2,1.00/2,,,,,
YKR030W,RHTO_06315,1,2,3,1.00/2,,,,,
YMR197C,RHTO_00012,1,2,3,1.00/2,,,,,
YML096W,RHTO_05364,0.667,1,3,1.00/2,,,,,
YJR130C,RHTO_00815,1,1,2,1.00/2,,,,,
YBL022C,RHTO_00224,0.667,1,3,1.00/2,,,,,
YEL032W,RHTO_02327,0.636,2,11,0.60/10,,,,,
YPR055W,RHTO_00964,1,2,3,1.00/2,,,,,
YHR132C,RHTO_06223,1,1,1,,,,,,
YHR115C,RHTO_02284,1,2,3,1.00/2,,,,,
YPR162C,RHTO_03532,1,1,1,,,,,,
YCR101C,RHTO_05663,1,1,1,,,,,,
YBR019C,RHTO_03041,1,1,2,1.00/2,,,,,
YOR293W,RHTO_00354,1,2,5,1.00/4,,,,,
YJL052W,RHTO0S_19e00408g,1,1,2,1.00/2,,,,,
YGL048C,RHTO_06224,1,1,12,1.00/12,,,,,
YOL040C,RHTO0S_16e00540g,0.667,2,3,0.50/2,,,,,
YCR073W-A,RHTO_07939,0.667,1,3,1.00/2,,,,,
YLR210W,RHTO_07477,1,1,6,1.00/6,,,,,
YPL198W,RHTO_03965,1,2,3,1.00/2,,,,,
YOR285W,RHTO_06458,1,2,3,1.00/2,,,,,
YER015W,RHTO_04957,0.857,1,7,1.00/6,,,,,
YKL087C,RHTO_07696,1,2,5,1.00/4,,,,,
YGR119C,RHTO_00861,1,1,1,,,,,,
YER060W-A,RHTO_07997,0.667,1,3,1.00/2,,,,,
YGL125W,RHTO_04196,1,2,5,1.00/4,,,,,
YGR010W,RHTO_06715,1,2,3,1.00/2,,,,,
YDL015C,RHTO_05958,1,2,3,1.00/2,,,,,
YGR183C,RHTO_02851,1,1,2,1.00/2,,,,,
YLL009C,RHTO_02678,1,1,2,1.00/2,,,,,
YNL318C,RHTO_00630,0.8,1,5,1.00/4,,,,,
YMR214W,RHTO_02968,1,2,7,1.00/6,,,,,
YOR289W,RHTO_06931,1,2,3,1.00/2,,,,,
YGL054C,RHTO_01313,1,2,3,1.00/2,,,,,
YCL016C,RHTO_04243,1,2,3,1.00/2,,,,,
YER007W,RHTO_02190,1,2,3,1.00/2,,,,,
YNL256W,RHTO_00942,1,2,3,1.00/2,,,,,
YML075C,RHTO_04045,0.667,1,3,1.00/2,,,,,
YGR211W,RHTO_02129,1,2,3,1.00/2,,,,,
YKL092C,RHTO_06948,1,1,2,1.00/2,,,,,
YHR169W,RHTO_01110,1,2,9,1.00/8,,,,,
YEL051W,RHTO_02447,1,2,3,1.00/2,,,,,
YEL021W,RHTO_02309,1,2,3,1.00/2,,,,,
YOL090W,RHTO_01379,0.667,2,9,0.62/8,,,,,
YOR086C,RHTO_05174,0.6,1,5,0.75/4,,,,,
YBR260C,RHTO_04245,0.5,1,2,0.50/2,,,,,
YBR159W,RHTO_05562,1,1,8,1.00/8,,,,,
YOR356W,RHTO_06913,1,2,3,1.00/2,,,,,
YJR063W,RHTO_07983,1,1,1,,,,,,
YML001W,RHTO_08068,0.929,1,14,0.93/14,,,,,
YER056C-A,RHTO0S_03e09846g,1,2,3,1.00/2,,,,,
YER134C,RHTO_00158,1,2,3,1.00/2,,,,,
YMR277W,RHTO_01059,1,2,3,1.00/2,,,,,
YOL018C,RHTO_03850,1,2,3,1.00/2,,,,,
YHR058C,RHTO_06510,1,2,3,1.00/2,,,,,
YDL194W,RHTO_04057,0.8,1,10,0.80/10,,,,,
YLR063W,RHTO_05380,1,2,3,1.00/2,,,,,
YHR209W,RHTO_02367,1,2,5,1.00/4,,,,,
YBR257W,RHTO_01987,1,1,1,,,,,,
YCR100C,RHTO_05663,1,1,1,,,,,,
YPL262W,RHTO_05746,1,2,3,1.00/2,,,,,
YKR074W,RHTO_06910,1,2,3,1.00/2,,,,,
YDR185C,RHTO_01263,1,2,5,1.00/4,,,,,
YNL316C,RHTO_03474,0.667,1,3,1.00/2,,,,,
YJL153C,RHTO_06468,1,2,3,1.00/2,,,,,
YPL143W,RHTO_04592,1,2,3,1.00/2,,,,,
YHR091C,RHTO_02671,0.667,1,3,1.00/2,,,,,
YIL150C,RHTO_03368,1,1,1,,,,,,
YLR318W,RHTO_04474,1,1,1,,,,,,
YDL149W,RHTO_06411,1,2,3,1.00/2,,,,,
YNL279W,RHTO_07645,1,2,3,1.00/2,,,,,
YGL019W,RHTO_07783,0.8,2,5,0.75/4,,,,,
YKR056W,RHTO_06767,1,2,3,1.00/2,,,,,
YGL087C,RHTO_04244,1,2,3,1.00/2,,,,,
YEL023C,RHTO_04590,1,2,5,1.00/4,,,,,
YDL159W,RHTO_07595,1,2,7,1.00/6,,,,,
YJL008C,RHTO_04786,1,2,17,1.00/16,,,,,
YNL148C,RHTO_00814,1,2,3,1.00/2,,,,,
YER050C,RHTO_04709,1,1,2,1.00/2,,,,,
YNL049C,RHTO_00625,1,2,5,1.00/4,,,,,
YCL005W-A,RHTO_07443,1,1,1,,,,,,
YML049C,RHTO_02927,0.667,1,3,1.00/2,,,,,
YLR355C,RHTO_04566,0.667,1,3,1.00/2,,,,,
YJL219W,RHTO_00630,0.909,1,11,1.00/10,,,,,
YOR307C,RHTO_02168,1,2,3,1.00/2,,,,,
YLR361C,RHTO_02629,1,1,2,1.00/2,,,,,
YGL172W,RHTO_01301,1,1,1,,,,,,
YOR005C,RHTO_04829,1,2,5,1.00/4,,,,,
YLL006W,RHTO_05015,1,2,3,1.00/2,,,,,
YBL055C,RHTO_00701,0.667,1,3,1.00/2,,,,,
YOR347C,RHTO_01610,1,2,3,1.00/2,,,,,
YDL131W,RHTO_06979,1,2,3,1.00/2,,,,,
YHR074W,RHTO_04235,1,2,3,1.00/2,,,,,
YOR207C,RHTO_03688,1,2,7,1.00/6,,,,,
YDR486C,RHTO_06492,1,2,3,1.00/2,,,,,
YMR093W,RHTO_05282,1,2,3,1.00/2,,,,,
YNL106C,RHTO_02964,0.6,2,5,0.50/4,,,,,
YBR119W,RHTO_01030,1,1,2,1.00/2,,,,,
YGL224C,RHTO_07849,1,2,3,1.00/2,,,,,
YJL123C,RHTO_05252,1,1,1,,,,,,
YKL155C,RHTO_03572,1,2,3,1.00/2,,,,,
YCR081W,RHTO_06299,1,1,1,,,,,,
YNL117W,RHTO_01459,0.667,1,3,1.00/2,,,,,
YEL054C,RHTO_07771,1,2,4,1.00/2,1.00/2,,,,
YDR508C,RHTO_02350,1,1,4,1.00/4,,,,,
YDR255C,RHTO_06722,1,1,1,,,,,,
YDL205C,RHTO_08149,0.667,1,3,1.00/2,,,,,
YKL195W,RHTO_07058,1,1,1,,,,,,
YOR099W,RHTO_03276,0.8,2,5,0.75/4,,,,,
YNR012W,RHTO_01996,1,2,5,1.00/4,,,,,
YOR111W,RHTO_04616,1,2,3,1.00/2,,,,,
YBR065C,RHTO_02977,1,1,1,,,,,,
YBR172C,RHTO_07242,1,1,1,,,,,,
YGR187C,RHTO_04820,1,2,3,1.00/2,,,,,
YHR072W-A,RHTO_00216,1,2,3,1.00/2,,,,,
YCR031C,RHTO_04216,1,2,3,1.00/2,,,,,
YGL062W,RHTO_02628,1,2,3,1.00/2,,,,,
YPL101W,RHTO_01028,1,1,1,,,,,,
YLR427W,RHTO_00611,1,2,3,1.00/2,,,,,
YLR027C,RHTO_00425,1,2,3,1.00/2,,,,,
YDL240W,RHTO_00717,0.667,1,3,1.00/2,,,,,
YLR432W,RHTO_05912,0.667,1,3,1.00/2,,,,,
YML018C,RHTO_02317,1,2,3,1.00/2,,,,,
YMR075W,RHTO_03035,1,2,3,1.00/2,,,,,
YER145C,RHTO_00149,1,1,1,,,,,,
YFR041C,RHTO_05266,1,2,3,1.00/2,,,,,
YJL054W,RHTO_03200,1,1,1,,,,,,
YOR150W,RHTO_01240,1,2,3,1.00/2,,,,,
YHR154W,RHTO_06325,1,1,1,,,,,,
YKL213C,RHTO_03045,0.667,1,3,1.00/2,,,,,
YGL026C,RHTO_04213,0.667,1,3,1.00/2,,,,,
YFL036W,RHTO_03678,0.667,1,3,1.00/2,,,,,
YHR200W,RHTO_05870,1,1,1,,,,,,
YOR319W,RHTO_03182,1,2,3,1.00/2,,,,,
YML069W,RHTO_07516,1,2,3,1.00/2,,,,,
YIR026C,RHTO_07035,1,1,1,,,,,,
YFR007W,RHTO_00270,0.667,1,3,1.00/2,,,,,
YER037W,RHTO_07849,1,2,3,1.00/2,,,,,
YDR226W,RHTO_03117,1,2,7,1.00/6,,,,,
YMR140W,RHTO_02970,1,1,1,,,,,,
YPR112C,RHTO_03729,0.6,2,5,0.50/4,,,,,
YML008C,RHTO_00856,1,2,3,1.00/2,,,,,
YBR202W,RHTO_02958,0.545,2,11,0.50/10,,,,,
YBR037C,RHTO_03600,1,2,3,1.00/2,,,,,
YKR065C,RHTO_03258,1,2,3,1.00/2,,,,,
YOL143C,RHTO_04229,1,2,3,1.00/2,,,,,
YML028W,RHTO_05117,1,2,5,1.00/4,,,,,
YCR071C,RHTO_07177,1,1,2,1.00/2,,,,,
YKL033W-A,RHTO_07985,1,2,3,1.00/2,,,,,
YAL030W,RHTO_01376,1,2,3,1.00/2,,,,,
YDL108W,RHTO_05959,0.96,1,25,1.00/24,,,,,
YOR089C,RHTO_04660,0.929,1,14,0.93/14,,,,,
YDL183C,RHTO_04361,1,1,1,,,,,,
YOR004W,RHTO_08135,1,2,3,1.00/2,,,,,
YMR139W,RHTO_06862,0.8,2,5,0.75/4,,,,,
YIL068C,RHTO_04241,1,2,3,1.00/2,,,,,
YOR212W,RHTO0S_08e04390g,1,2,5,1.00/4,,,,,
YKL193C,RHTO_00092,1,2,3,1.00/2,,,,,
YBR160W,RHTO_00671,1,2,21,1.00/20,,,,,
YOR173W,RHTO_06339,1,2,3,1.00/2,,,,,
YDR005C,RHTO_00347,1,1,1,,,,,,
YOR219C,RHTO_05681,1,1,2,1.00/2,,,,,
YJR002W,RHTO_05057,1,1,1,,,,,,
YBR242W,RHTO_02654,1,2,3,1.00/2,,,,,
YDR178W,Phy006EUKX,1,1,2,1.00/2,,,,,
YIL008W,RHTO_00541,1,2,3,1.00/2,,,,,
YLR438W,RHTO_02358,0.917,1,12,0.92/12,,,,,
YPL204W,RHTO_03515,0.75,1,4,0.75/4,,,,,
YIL142W,RHTO_05896,1,2,19,1.00/18,,,,,
YPR155C,RHTO_02822,1,1,1,,,,,,
YJR076C,RHTO_08031,1,1,10,1.00/10,,,,,
YOR136W,RHTO_01290,1,2,9,1.00/8,,,,,
YKL160W,RHTO_06128,1,1,1,,,,,,
YNL280C,RHTO_02033,1,2,7,1.00/6,,,,,
YPR011C,RHTO_04631,1,2,29,1.00/28,,,,,
YOR292C,RHTO_05990,1,2,3,1.00/2,,,,,
YER143W,RHTO_07325,1,1,1,,,,,,
YMR014W,RHTO_01000,1,1,1,,,,,,
YOR027W,RHTO_01739,1,2,3,1.00/2,,,,,
YER023W,RHTO_04419,1,2,5,1.00/4,,,,,
YOL034W,RHTO_07224,0.667,1,3,1.00/2,,,,,
YOL119C,RHTO_03961,1,1,2,1.00/2,,,,,
YOR375C,RHTO_04650,1,2,3,1.00/2,,,,,
YGR214W,RHTO0S_06e03928g,1,2,3,1.00/2,,,,,
YDR109C,RHTO_00950,1,2,3,1.00/2,,,,,
YNL161W,RHTO_03892,1,2,15,1.00/14,,,,,
YPL067C,RHTO_07475,1,1,2,1.00/2,,,,,
YGL043W,RHTO_05008,0.667,1,3,1.00/2,,,,,
YGR125W,RHTO_05550,0.667,1,3,1.00/2,,,,,
YNL129W,RHTO_08012,1,2,3,1.00/2,,,,,
YDR302W,RHTO_00430,1,1,1,,,,,,
YDR002W,RHTO_04874,1,2,3,1.00/2,,,,,
YDR322W,RHTO_02088,1,2,3,1.00/2,,,,,
YDR222W,RHTO_04583,1,2,3,1.00/2,,,,,
YPL189W,RHTO_03825,1,2,3,1.00/2,,,,,
YBR079C,RHTO_05574,1,2,3,1.00/2,,,,,
YGR264C,RHTO_06168,0.6,2,5,0.50/4,,,,,
YLR234W,RHTO_02390,1,2,3,1.00/2,,,,,
YAR007C,RHTO_03038,1,2,3,1.00/2,,,,,
YDL156W,RHTO_05336,1,2,3,1.00/2,,,,,
YKL048C,RHTO_00257,1,1,1,,,,,,
YER156C,RHTO_07831,1,2,3,1.00/2,,,,,
YGR103W,RHTO_05141,1,2,3,1.00/2,,,,,
YJL073W,RHTO_05717,1,1,1,,,,,,
YER159C,RHTO_05000,1,2,3,1.00/2,,,,,
YOL023W,RHTO_06350,1,1,1,,,,,,
YPR135W,RHTO_07131,1,1,1,,,,,,
YER057C,RHTO_04414,1,1,2,1.00/2,,,,,
YBR060C,RHTO_05565,1,2,3,1.00/2,,,,,
YAL043C,RHTO_02148,1,1,1,,,,,,
YPR036W,RHTO_07678,1,1,1,,,,,,
YER127W,RHTO_07373,1,1,1,,,,,,
YJL063C,RHTO_05756,1,2,3,1.00/2,,,,,
YEL030W,RHTO_05796,1,2,11,1.00/10,,,,,
YHR065C,RHTO_01774,0.923,2,39,0.92/38,,,,,
YER105C,RHTO_06473,1,2,3,1.00/2,,,,,
YHR171W,RHTO_00622,1,2,3,1.00/2,,,,,
YDR346C,RHTO_04583,1,2,3,1.00/2,,,,,
YDR164C,RHTO_04973,0.8,2,5,0.75/4,,,,,
YPR022C,RHTO_06954,1,1,1,,,,,,
YHR005C-A,RHTO0S_01e14290g,1,2,3,1.00/2,,,,,
YOR101W,RHTO_00181,0.5,1,8,0.50/8,,,,,
YBR002C,RHTO_05050,0.667,1,3,1.00/2,,,,,
YEL047C,RHTO_05714,0.5,1,4,0.50/4,,,,,
YOR271C,RHTO_05981,1,2,3,1.00/2,,,,,
YGL092W,RHTO_00735,1,1,1,,,,,,
YLR387C,RHTO_03187,1,2,3,1.00/2,,,,,
YNR047W,RHTO_06770,1,2,13,1.00/12,,,,,
YLR333C,RHTO_02403,1,2,3,1.00/2,,,,,
YFR024C-A,RHTO_00699,1,1,2,1.00/2,,,,,
YGR217W,RHTO_00163,1,1,1,,,,,,
YLR113W,RHTO_03321,1,2,29,1.00/28,,,,,
YOR061W,RHTO_06481,0.5,1,2,0.50/2,,,,,
YPL105C,RHTO_07242,1,1,1,,,,,,
YER093C,RHTO_07755,1,2,3,1.00/2,,,,,
YAL061W,RHTO_04102,1,2,11,1.00/10,,,,,
YGL137W,RHTO_06536,0.6,2,5,0.50/4,,,,,
YGR180C,RHTO_04356,0.667,1,3,1.00/2,,,,,
YNR029C,RHTO_05327,1,1,2,1.00/2,,,,,
YLL034C,RHTO_07312,1,2,19,1.00/18,,,,,
YDR299W,RHTO_04189,1,1,1,,,,,,
YKL180W,RHTO_07756,1,2,3,1.00/2,,,,,
YLR065C,RHTO_06983,1,2,3,1.00/2,,,,,
YHR018C,RHTO_00558,0.667,2,3,0.50/2,,,,,
YBL020W,RHTO_03346,1,2,3,1.00/2,,,,,
YPL063W,RHTO_05286,1,2,3,1.00/2,,,,,
YOR143C,RHTO_01938,1,2,3,1.00/2,,,,,
YIR027C,RHTO_00648,0.75,1,4,0.75/4,,,,,
YJL129C,RHTO_04767,1,1,1,,,,,,
YOR340C,RHTO_01243,1,2,3,1.00/2,,,,,
YMR283C,RHTO_01963,1,2,3,1.00/2,,,,,
YEL024W,RHTO_01869,1,2,3,1.00/2,,,,,
YBR147W,RHTO_02539,1,1,2,1.00/2,,,,,
YLL018C,RHTO_01051,0.889,1,9,1.00/8,,,,,
YJL105W,RHTO_00561,1,1,1,,,,,,
YER122C,RHTO_07765,0.667,1,3,1.00/2,,,,,
YIL006W,RHTO_07590,1,2,29,1.00/28,,,,,
YMR273C,RHTO_04236,1,1,1,,,,,,
YKL022C,RHTO_00097,1,2,3,1.00/2,,,,,
YDL128W,RHTO_04238,1,1,4,1.00/4,,,,,
YGL077C,RHTO_05288,1,1,4,1.00/4,,,,,
YER103W,RHTO_07842,0.933,2,15,0.93/14,,,,,
YOR194C,RHTO_06056,1,1,1,,,,,,
YDL074C,RHTO_04401,1,1,1,,,,,,
YGL115W,RHTO_05410,1,2,3,1.00/2,,,,,
YLR138W,RHTO_07452,1,1,4,1.00/4,,,,,
