reaction	Acetate	Glycerol	Xylose	Xylose (no PK-PTA)
C-4 methyl sterol oxidase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-4 sterol methyl oxidase (4,4-dimethylzymosterol)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-5 sterol desaturase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-8 sterol isomerase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
C-s24 sterol reductase	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
carbamoyl-phosphate synthase (glutamine-hydrolysing)	0	0	0	0
carnitine O-acetyltransferase	2.027894e-01	0	0	0
carnitine O-acetyltransferase	0	0	0	0
carnitine O-acetyltransferase	2.027894e-01	0	0	0
catalase	0	0	0	0
catalase	0	0	0	0
ceramide-1 hydroxylase (24C)	0	0	0	0
ceramide-1 hydroxylase (24C)	0	0	0	0
ceramide-1 hydroxylase (26C)	0	0	0	0
ceramide-1 hydroxylase (26C)	0	0	0	0
ceramide-1 synthase (24C)	0	0	0	0
ceramide-1 synthase (26C)	0	0	0	0
ceramide-2 synthase (24C)	0	0	0	0
ceramide-2 synthase (26C)	0	0	0	0
ceramide-3 synthase (24C)	0	0	0	0
ceramide-3 synthase (26C)	0	0	0	0
ceramide-4 synthase (24C)	0	0	0	0
ceramide-4 synthase (26C)	0	0	0	0
chitin deacetylase	0	0	0	0
chitin synthase	0	0	0	0
choline kinase	0	0	0	0
choline phosphate cytididyltransferase	0	0	0	0
chorismate mutase	0	0	0	0
chorismate synthase	0	0	0	0
cis-aconitate(3-) to isocitrate	0	0	0	0
cis-prenyltransferase step 01	0	0	0	0
cis-prenyltransferase step 02	0	0	0	0
cis-prenyltransferase step 03	0	0	0	0
cis-prenyltransferase step 04	0	0	0	0
cis-prenyltransferase step 05	0	0	0	0
cis-prenyltransferase step 06	0	0	0	0
cis-prenyltransferase step 07	0	0	0	0
cis-prenyltransferase step 08	0	0	0	0
cis-prenyltransferase step 09	0	0	0	0
cis-prenyltransferase step 10	0	0	0	0
cis-prenyltransferase step 11	0	0	0	0
cis-prenyltransferase step 12	0	0	0	0
cis-prenyltransferase step 13	0	0	0	0
cis-prenyltransferase step 14	0	0	0	0
cis-prenyltransferase step 15	0	0	0	0
cis-prenyltransferase step 16	0	0	0	0
cis-prenyltransferase step 17	0	0	0	0
cis-prenyltransferase step 18	0	0	0	0
cis-prenyltransferase step 19	0	0	0	0
citrate synthase	2.027894e-01	1.043100e-05	0	0
citrate synthase, peroxisomal	0	0	0	0
citrate to cis-aconitate(3-)	0	0	0	0
citrate to cis-aconitate(3-), cytoplasmic	2.027894e-01	0	0	0
coproporphyrinogen oxidase (O2 required)	0	0	0	0
CTP synthase (glutamine)	0	0	0	0
CTP synthase (NH3)	0	0	0	0
cystathionine b-lyase	0	0	0	0
cystathionine beta-synthase	0	0	0	0
cystathionine g-lyase	0	0	0	0
cystathionine gamma-synthase	0	0	0	0
cysteine synthase	0	0	0	0
cysteinyl-tRNA synthetase	0	0	0	0
cytidine kinase (GTP)	0	0	0	0
cytochrome P450 lanosterol 14-alpha-demethylase (NADP)	1.208210e-03	1.670723e-03	1.487421e-03	1.428406e-03
cytosine deaminase	0	0	0	0
D-arabinono-1,4-lactone oxidase	0	0	0	0
D-arabinose 1-dehydrogenase (NAD)	0	0	0	0
D-arabinose 1-dehydrogenase (NADP)	0	0	0	0
D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	0	0	0	0
D-sorbitol dehydrogenase (D-fructose producing)	0	0	0	0
dCMP deaminase	0	0	0	0
dCTP deaminase	0	0	0	0
deoxyadenosine deaminase	0	0	0	0
deoxyguanylate kinase (dGMP:ATP)	0	0	0	0
deoxyhypusine synthase, cytosolic/mitochondrial	0	0	0	0
deoxyribokinase	0	0	0	0
dephospho-CoA kinase	0	0	0	0
dihydrofolate reductase	0	0	0	0
dihydrofolate reductase	0	0	0	0
dihydrofolate synthase	0	0	0	0
dihydroneopterin aldolase	0	0	0	0
dihydroneopterin monophosphate dephosphorylase	0	0	0	0
dihydroorotase	0	0	0	0
dihydropteroate synthase	0	0	0	0
dihydropteroate synthase	0	0	0	0
dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0	0	0	0
dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	0	0	0	0
dihydroxyacetone kinase	3.237814e-03	3.378106e-01	3.986054e-03	2.163605e-01
dimethylallyltranstransferase	2.416420e-03	3.341446e-03	2.974841e-03	2.856813e-03
diphosphoglyceromutase	0	0	0	0
diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	0	0	0	0
diphthine synthase	0	0	0	0
dolichol kinase	0	0	0	0
dolichyl-phosphate D-mannosyltransferase	0	0	0	0
dolichyl-phosphate-mannose--protein mannosyltransferase	0	0	0	0
dTMP kinase	0	0	0	0
dUTP diphosphatase	0	0	0	0
endopolygalacturonase	0	0	0	0
enolase	-5.561381e-02	1.683344e-01	1.311866e-02	2.856278e-01
ethanolamine kinase	0	0	0	0
ethyl acetate-hydrolyzing esterase	0	0	0	0
exo-1,3-beta-glucan glucohydrase	0	0	0	0
farnesyltranstransferase	0	0	0	0
ferrochelatase	0	0	0	0
ferrocytochrome-c:hydrogen-peroxide oxidoreductase	0	0	0	0
ferrocytochrome-c:oxygen oxidoreductase	1.050642e+00	5.882696e-01	3.690615e-01	5.131215e-01
ubiquinol:ferricytochrome c reductase	5.253208e-01	2.941348e-01	1.845308e-01	2.565608e-01
FMN adenylyltransferase	0	0	0	0
formaldehyde dehydrogenase	0	0	0	0
formate dehydrogenase	1.208210e-03	1.670723e-03	0	0
formate-tetrahydrofolate ligase	0	0	1.487421e-03	1.428406e-03
formate-tetrahydrofolate ligase	0	0	0	0
fructose-2,6-bisphosphate 2-phosphatase	0	0	0	0
fructose-bisphosphatase	4.597064e-02	1.532013e-01	1.771218e-01	0
fructose-bisphosphate aldolase	-4.597064e-02	-1.532013e-01	-1.771218e-01	0
fumarase	1.493897e-01	0	0	0
fumarase, cytoplasmic	5.339968e-02	0	0	0
dihydoorotic acid dehydrogenase	0	0	0	0
fumarate reductase	0	0	0	0
soluble fumarate reductase	0	0	0	0
g-glutamyltransferase	0	0	0	0
galactokinase	0	0	0	0
galactose-1-phosphate uridylyltransferase	0	0	0	0
gamma-glutamylcysteine synthetase	0	0	0	0
geranyltranstransferase	2.416420e-03	3.341446e-03	2.974841e-03	2.856813e-03
glucan 1,4-alpha-glucosidase	0	0	0	0
glucose 6-phosphate dehydrogenase	1.373347e-01	1.273104e-01	3.620352e-01	1.143172e-01
glucose-6-phosphate isomerase	-1.375271e-01	-1.275765e-01	-3.622720e-01	-1.145447e-01
glutamate 5-kinase	0	0	0	0
glutamate decarboxylase	8.969348e-06	0	0	0
glutamate dehydrogenase (NAD)	0	0	0	0
glutamate dehydrogenase (NADP)	1.446275e-03	3.536981e-03	2.284637e-03	0
glutamate synthase (NADH2)	0	0	1.205758e-04	2.309785e-03
glutamate-5-semialdehyde dehydrogenase	0	0	0	0
glutaminase	0	0	0	0
glutamine synthetase	0	0	1.205758e-04	2.309785e-03
glutamine-fructose-6-phosphate transaminase	0	0	0	0
glutaminyl-tRNA synthetase	0	0	0	0
glutamyl-tRNA synthetase	0	0	0	0
glutamyl-tRNA synthetase	0	0	0	0
glutathione oxidoreductase	0	0	0	0
glutathione oxidoreductase	0	0	0	0
glutathione peridoxase	0	0	0	0
glutathione peroxidase, mitochondria	0	0	0	0
glutathione synthetase	0	0	0	0
glyceraldehyde-3-phosphate dehydrogenase	-5.194444e-02	1.718714e-01	1.552387e-02	2.879376e-01
glycerol dehydrogenase (NADP-dependent)	3.237814e-03	3.378106e-01	3.986054e-03	2.163605e-01
glycerol kinase	0	0	0	0
glycerol-3-phosphatase	0	0	0	2.125326e-01
glycerol-3-phosphate dehydrogenase (fad)	0	0	0	0
glycerol-3-phosphate dehydrogenase (NAD)	0	1.247183e-02	1.110349e-02	2.231955e-01
glycerol-3-phosphate dehydrogenase (NAD)	9.019206e-03	0	0	0
glycinamide ribotide transformylase	0	0	0	0
glycine cleavage system	0	1.537060e-03	6.247120e-04	5.999261e-04
glycine hydroxymethyltransferase	2.223099e-03	3.074120e-03	1.249424e-03	1.199852e-03
glycine hydroxymethyltransferase	0	-1.537060e-03	-6.247120e-04	-5.999261e-04
glycine-cleavage complex (lipoamide)	0	0	0	0
glycine-cleavage complex (lipoamide)	1.493897e-01	0	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0	0
glycine-cleavage system (lipoamide)	0	0	0	0
glycogen (starch) synthase	0	0	0	0
glycogen phosphorylase	0	0	0	0
glycyl-tRNA synthetase	0	0	0	0
GMP synthase	0	0	0	0
GPI-anchor assembly, step 2	0	0	0	0
GPI-anchor assembly, step 6	0	0	0	0
GPI-anchor assembly, step 7	0	0	0	0
GPI-anchor assembly, step 9	0	0	0	0
GTP cyclohydrolase I	0	0	0	0
GTP cyclohydrolase II	0	0	0	0
guanine deaminase	0	0	0	0
guanine phosphoribosyltransferase	0	0	0	0
guanylate kinase	0	0	0	0
guanylate kinase (GMP:dATP)	0	0	0	0
heme O monooxygenase	0	0	0	0
Heme O synthase	0	0	0	0
hexaprenyldihydroxybenzoate methyltransferase	0	0	0	0
hexokinase (D-fructose:ATP)	0	0	0	0
hexokinase (D-glucose:ATP)	0	0	0	0
hexokinase (D-mannose:ATP)	0	0	0	0
histidinol dehydrogenase	0	0	0	0
histidinol-phosphatase	0	0	0	0
histidinol-phosphate transaminase	0	0	0	0
histidyl-tRNA synthetase	0	0	0	0
histidyl-tRNA synthetase	0	0	0	0
hnRNP arginine N-methyltransferase	0	0	0	0
homoacontinate hydratase	0	0	0	0
homocitrate synthase	0	0	0	0
homocysteine S-methyltransferase	0	0	0	0
homoisocitrate dehydrogenase	0	0	0	0
homoserine dehydrogenase (NADH)	0	0	0	0
homoserine dehydrogenase (NADP)	0	0	0	0
homoserine kinase	0	0	0	0
homoserine O-trans-acetylase	0	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0	0
hydroxyacylglutathione hydrolase	0	0	0	0
hydroxyacylglutathione hydrolase	0	0	0	0
hydroxybenzoate octaprenyltransferase	0	0	0	0
hydroxyethylthiazole kinase	0	0	0	0
hydroxymethylbilane synthase	0	0	0	0
hydroxymethylglutaryl CoA reductase	7.249261e-03	1.002434e-02	8.924524e-03	8.570438e-03
hydroxymethylglutaryl CoA synthase	7.249261e-03	0	4.551639e-03	0
hydroxymethylglutaryl CoA synthase	0	1.002434e-02	4.372885e-03	8.570438e-03
hydroxymethylpyrimidine kinase (ATP)	0	0	0	0
hypoxanthine phosphoribosyltransferase (Hypoxanthine)	0	0	0	0
Imidazole-glycerol-3-phosphate synthase	0	0	0	0
imidazoleglycerol-phosphate dehydratase	0	0	0	0
IMP dehydrogenase	0	0	0	0
indole-3-glycerol-phosphate synthase	0	0	0	0
indole-3-pyruvate decarboxylase	0	0	0	0
inorganic diphosphatase	0	0	0	0
inorganic diphosphatase	5.171388e-01	1.619506e-01	2.109942e-02	2.801788e-01
inosine monophosphate cyclohydrolase	0	0	0	0
inositol-1,3,4,5-triphosphate 6-kinase, nucleus	0	0	0	0
inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus	0	0	0	0
inositol-1,4,5-triphosphate 6-kinase, nucleus	0	0	0	0
inositol-1,4,5-trisphosphate 3-kinase, nucleus	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
IPS phospholipase C	0	0	0	0
isoamyl acetate-hydrolyzing esterase	0	0	0	0
isobutyl acetate-hydrolyzing esterase	0	0	0	0
isocitrate dehydrogenase (NAD+)	0	0	0	0
isocitrate dehydrogenase (NADP)	1.493986e-01	0	0	0
isocitrate dehydrogenase (NADP+), peroxisomal	0	0	0	0
isocitrate lyase	5.339071e-02	0	0	0
isoleucine transaminase	0	0	0	0
isoleucine transaminase	0	0	0	0
isoleucyl-tRNA synthetase	0	0	0	0
isoleucyl-tRNA synthetase	0	0	0	0
isopentenyl-diphosphate D-isomerase	2.416420e-03	3.341446e-03	2.974841e-03	2.856813e-03
itaconate-CoA ligase (ADP-forming)	0	0	0	0
ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)	0	0	0	0
kynureninase	0	0	0	0
kynurenine 3-monooxygenase	0	0	0	0
L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase	0	0	0	0
L-4-hydroxyglutamate semialdehyde dehydrogenase	0	0	0	0
L-alanine transaminase	0	0	0	0
L-allo-threonine aldolase	0	0	0	0
L-allo-threonine dehydrogenase	0	0	0	0
L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0	0	0	0
L-asparaginase	0	0	0	0
L-asparaginase	0	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0	0
L-hydroxyproline reductase (NADP)	0	0	0	0
