reaction	reactionName	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
r_0025	2-isopropylmalate synthase	0.000000	0.000000	0.000000	0.000000	0.005812	0.040386	0.046812	0.089664	0.000092	0.001842	0.013562	0.021615
r_0026	2-keto-4-methylthiobutyrate transamination	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0027	2-methylcitrate dehydratase	0.001469	0.011252	0.018276	0.022309	0.005613	0.039001	0.045206	0.086589	0.000089	0.001778	0.013097	0.020873
r_0028	2-methylcitrate synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.001521	0.011652	0.018925	0.023101	0.005812	0.040386	0.046812	0.089664	0.000092	0.001842	0.013562	0.021615
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0032	3',5'-bisphosphate nucleotidase	0.000294	0.002250	0.003654	0.004460	0.001122	0.007797	0.009038	0.017311	0.000018	0.000356	0.002618	0.004173
r_0033	3',5'-cyclic-nucleotide phosphodiesterase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	0.000016	0.000123	0.000170	0.000212	0.000061	0.000321	0.000352	0.000461	0.000002	0.000014	0.000107	0.000178
r_0039	3-dehydroquinate dehydratase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0040	3-dehydroquinate synthase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0041	3-dehydrosphinganine reductase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0045	3-hydroxy-L-kynurenine hydrolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0059	3-isopropylmalate 3-methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0060	3-isopropylmalate dehydratase	-0.001521	-0.011652	-0.018925	-0.023101	-0.005812	-0.040386	-0.046812	-0.089664	-0.000092	-0.001842	-0.013562	-0.021615
r_0061	3-isopropylmalate dehydrogenase	0.001521	0.011652	0.018925	0.023101	0.005812	0.040386	0.046812	0.089664	0.000092	0.001842	0.013562	0.021615
r_0062	3-methyl-2-oxobutanoate decarboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0064	3-methyl-2-oxopentanoate decarboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	0.001357	0.010392	0.016879	0.020604	0.005184	0.036019	0.041750	0.079969	0.000082	0.001642	0.012096	0.019278
r_0066	4-amino-4-deoxychorismate synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0067	4-aminobenzoate synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0068	4-aminobutyrate transaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0069	4-hydroxy-L-threonine synthase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0072	4-methyl-2-oxopentanoate decarboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0073	4PP-IP5 depyrophosphorylation to IP6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0075	5'-methylthioadenosine phosphorylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0076	5'-nucleotidase (CMP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0078	5'-nucleotidase (UMP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	0.000755	0.005662	0.007854	0.009780	0.002831	0.014794	0.016256	0.021278	0.000073	0.000639	0.004922	0.008219
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	0.001369	0.008221	0.011400	0.011265	0.004412	0.028184	0.025438	0.036745	0.000136	0.001194	0.007896	0.011245
r_0081	5-aminolevulinate synthase	0.000000	0.000000	0.000001	0.000001	0.000000	0.000001	0.000001	0.000002	0.000000	0.000000	0.000000	0.000001
r_0084	5-formethyltetrahydrofolate cyclo-ligase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0087	5-methylthioribose-1-phosphate isomerase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0090	6-phosphofructo-2-kinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0091	6-phosphogluconolactonase	0.108325	0.183849	0.000000	0.528206	0.000000	0.000000	0.000000	0.000000	0.021481	0.189016	1.983687	2.699226
r_0092	6PP-IP5 depyrophosphorylation to IP6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0095	acetaldehyde condensation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0096	acetohydroxy acid isomeroreductase	0.002880	0.022053	0.035818	0.043722	0.011000	0.076435	0.088597	0.169699	0.000174	0.003485	0.025668	0.040908
r_0097	acetolactate synthase	0.002880	0.022053	0.035818	0.043722	0.011000	0.076435	0.088597	0.169699	0.000174	0.003485	0.025668	0.040908
r_0099	acetyl-CoA ACP transacylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0103	acetyl-CoA C-acetyltransferase	0.003686	0.020706	0.027142	0.024320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0104	acetyl-CoA C-acetyltransferase	0.000000	0.000000	0.000000	0.000000	0.011362	0.070739	0.057960	0.071200	0.000000	0.000000	0.000000	0.000000
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0108	acetyl-Coa carboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0109	acetyl-CoA carboxylase, reaction	0.099203	0.557299	0.730511	0.654568	0.305818	1.903939	1.559987	1.916343	0.010786	0.078651	0.499025	0.675500
r_0111	acetyl-CoA hydrolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0112	acetyl-CoA synthetase	0.512961	2.887149	4.347474	4.024922	0.001122	0.516435	0.009038	0.017311	0.000018	0.000356	0.002618	0.004173
r_0113	acetyl-CoA synthetase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000
r_0114	acetyl-CoA synthetase nuclear	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0115	acetylglutamate kinase	0.001670	0.012792	0.020777	0.025362	0.006381	0.021901	0.051361	0.048623	0.000101	0.002022	0.014889	0.023730
r_0116	acid phosphatase (secreted)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0117	aconitase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0118	acteylornithine transaminase	0.001670	0.012792	0.020777	0.025362	0.006381	0.021901	0.051361	0.048623	0.000101	0.002022	0.014889	0.023730
r_0120	acyl-CoA oxidase (decanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0126	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0128	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0129	acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0130	acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0131	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0133	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0134	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0135	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0138	adenine deaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0139	adenine phosphoribosyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0140	adenosine deaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0142	adenosine kinase	0.001109	0.006229	0.008165	0.007317	0.003418	0.021282	0.017437	0.021420	0.000121	0.000879	0.005578	0.007550
r_0143	adenosine monophosphate deaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0144	adenosylhomocysteinase	0.001109	0.006229	0.008165	0.007317	0.003418	0.021282	0.017437	0.021420	0.000121	0.000879	0.005578	0.007550
r_0145	adenosylmethionine decarboxylase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0146	adenosylmethionine-8-amino-7-oxononanoate transaminase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0147	adenylate cyclase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0148	adenylate kinase	0.541986	3.100572	4.683290	4.425391	0.108788	1.242149	0.820704	1.500971	0.002044	0.033018	0.240358	0.395557
r_0149	adenylate kinase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000
r_0150	adenylate kinase (GTP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0151	adenylosuccinate lyase (AICAR)	0.000755	0.005662	0.007854	0.009780	0.002831	0.014794	0.016256	0.021278	0.000073	0.000639	0.004922	0.008219
r_0152	adenylosuccinate lyase	0.000719	0.005444	0.008170	0.010069	0.002719	0.016449	0.018618	0.030722	0.000057	0.000732	0.005501	0.008954
r_0153	adenylosuccinate synthase	0.000719	0.005444	0.008170	0.010069	0.002719	0.016449	0.018618	0.030722	0.000057	0.000732	0.005501	0.008954
r_0154	adenylyl-sulfate kinase	0.000294	0.002250	0.003654	0.004460	0.001122	0.007797	0.009038	0.017311	0.000018	0.000356	0.002618	0.004173
r_0156	alanine glyoxylate aminotransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0157	alanyl-tRNA synthetase	0.002355	0.018035	0.029293	0.035757	0.008996	0.062511	0.072457	0.138785	0.000142	0.002850	0.020992	0.033456
r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0164	alcohol dehydrogenase (glycerol, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0165	mitochondrial alcohol dehydrogenase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0166	aldehyde dehydrogenase (2-methylbutanol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0167	aldehyde dehydrogenase (2-methylbutanol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0169	aldehyde dehydrogenase (2-phenylethanol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0170	aldehyde dehydrogenase (2-phenylethanol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0171	aldehyde dehydrogenase (2-phenylethanol, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0172	aldehyde dehydrogenase (3-aminopropanal, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.508638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0174	aldehyde dehydrogenase (acetylaldehyde, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0175	aldehyde dehydrogenase (acetylaldehyde, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0176	aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0177	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0178	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0180	aldehyde dehydrogenase (isoamyl alcohol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0181	aldehyde dehydrogenase (isoamyl alcohol, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0182	aldehyde dehydrogenase (isobutyl alcohol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0183	aldehyde dehydrogenase (isobutyl alcohol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0184	aldehyde dehydrogenase (isobutyl alcohol, NADP)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0185	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0186	aldehyde dehydrogenase (tryptophol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0187	aldehyde dehydrogenase (tryptophol, NAD)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0188	alkaline phosphatase (dihydroneopterin)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0189	allantoate amidinohydrolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0190	allantoinase, reaction	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0191	allophanate hydrolase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0192	alpha 1,2-mannosyltransferase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0193	alpha,alpha-trehalase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
r_0194	alpha,alpha-trehalase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
