reaction	Acetate	Glycerol	Xylose
5,10-methylenetetrahydrofolate reductase (NADPH)	2.395091e-03	3.171673e-03	2.715657e-03
5-aminolevulinate synthase	0	0	0
5-formethyltetrahydrofolate cyclo-ligase	0	0	0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	0	0	0
5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0	0	0
5-methylthioribose-1-phosphate isomerase	0	0	0
5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0	0	0
5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0	0	0
6-phosphofructo-2-kinase	0	0	0
6-phosphogluconolactonase	2.335112e-01	1.375858e-01	3.651374e-01
6PP-IP5 depyrophosphorylation to IP6	0	0	0
acetaldehyde condensation	0	0	0
acetohydroxy acid isomeroreductase	0	0	0
acetolactate synthase	0	0	0
acetyl-CoA ACP transacylase	0	0	0
acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0	0	0
acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0	0	0
acetyl-CoA C-acyltransferase (myristoyl-CoA)	0	0	0
acetyl-CoA C-acetyltransferase	2.293194e-06	0	6.489807e-03
acetyl-CoA C-acetyltransferase	7.903012e-03	1.046851e-02	2.473566e-03
acetyl-CoA C-acyltransferase (lauroyl-CoA)	0	0	0
acetyl-CoA C-acyltransferase (octanoyl-CoA)	0	0	0
acetyl-CoA C-acyltransferase (decanoyl-CoA)	0	0	0
acetyl-Coa carboxylase	0	0	0
acetyl-CoA carboxylase, reaction	2.124873e-01	2.813837e-01	2.409261e-01
acetyl-CoA hydrolase	0	0	0
acetyl-CoA synthetase	5.000000e-01	9.943880e-03	0
acetyl-CoA synthetase	0	0	0
acetyl-CoA synthetase nuclear	0	0	0
acetylglutamate kinase	0	0	0
acid phosphatase (secreted)	0	0	0
aconitase	0	0	0
acteylornithine transaminase	0	0	0
acyl-CoA oxidase (decanoyl-CoA)	0	0	0
acyl-CoA oxidase (dodecanoyl-CoA)	0	0	0
acyl-CoA oxidase (hexacosanoyl-CoA)	0	0	0
acyl-CoA oxidase (hexadecanoyl-CoA)	0	0	0
acyl-CoA oxidase (octadecanoyl-CoA)	0	0	0
acyl-CoA oxidase (tetradecanoyl-CoA)	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	0	0	0
acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	0	0	0
adenine deaminase	0	0	0
adenine phosphoribosyltransferase	0	0	0
adenosine deaminase	0	0	0
adenosine kinase	2.395091e-03	3.171673e-03	2.715657e-03
adenosine monophosphate deaminase	0	0	0
adenosylhomocysteinase	2.395091e-03	3.171673e-03	2.715657e-03
adenosylmethionine decarboxylase	0	0	0
adenosylmethionine-8-amino-7-oxononanoate transaminase	0	0	0
adenylate cyclase	0	0	0
adenylate kinase	5.023951e-01	1.311555e-02	2.715657e-03
adenylate kinase	0	0	0
adenylate kinase (GTP)	0	0	0
adenylosuccinate lyase (AICAR)	0	0	0
adenylosuccinate lyase	0	0	0
adenylosuccinate synthase	0	0	0
adenylyl-sulfate kinase	0	0	0
alanine glyoxylate aminotransferase	0	0	0
alanyl-tRNA synthetase	0	0	0
alcohol dehydrogenase (ethanol to acetaldehyde)	0	0	0
alcohol dehydrogenase (glycerol, NADP)	0	0	0
mitochondrial alcohol dehydrogenase	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NADP)	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NADP)	0	0	0
aldehyde dehydrogenase (3-aminopropanal, NAD)	0	0	0
aldehyde dehydrogenase (acetaldehyde, NADP)	0	9.943880e-03	0
aldehyde dehydrogenase (acetylaldehyde, NAD)	0	0	0
aldehyde dehydrogenase (acetylaldehyde, NADP)	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NADP)	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NADP)	0	0	0
aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0
alkaline phosphatase (dihydroneopterin)	0	0	0
allantoate amidinohydrolase	0	0	0
allantoinase, reaction	0	0	0
allophanate hydrolase	0	0	0
alpha 1,2-mannosyltransferase	0	0	0
alpha,alpha-trehalase	0	0	0
alpha,alpha-trehalase	0	0	0
alpha,alpha-trehalose-phosphate synthase (UDP-forming)	0	0	0
alpha-glucosidase	0	0	0
amidase	0	0	0
Aminobutyraldehyde dehydrogenase	0	0	0
anthranilate phosphoribosyltransferase	0	0	0
anthranilate synthase	0	0	0
Ap4A hydrolase	0	0	0
arabinose reductase	0	0	0
arginase	0	0	0
argininosuccinate lyase	0	0	0
argininosuccinate synthase	0	0	0
arginyl-tRNA synthetase	0	0	0
arginyl-tRNA synthetase	0	0	0
asparagine synthase (glutamine-hydrolysing)	0	0	0
Asparaginyl-tRNA synthetase	0	0	0
asparaginyl-tRNA synthetase, miotchondrial	0	0	0
aspartate carbamoyltransferase	0	0	0
aspartate kinase	0	0	0
aspartate transaminase	5.493741e-02	0	1.690023e-01
aspartate transaminase	5.493741e-02	0	1.690023e-01
aspartate transaminase	0	0	0
aspartate-semialdehyde dehydrogenase	0	0	0
Aspartyl-tRNA synthetase	0	0	0
ATP adenylyltransferase	0	0	0
ATP phosphoribosyltransferase	0	0	0
ATP synthase	1.104901e+00	5.083574e-01	4.643701e-01
ATPase, cytosolic	0	0	0
beta-1,4 mannosyltransferase	0	0	0
biotin synthase	0	0	0
biotin-[acetyl-CoA-carboxylase] ligase	0	0	0
C-14 sterol reductase	1.317551e-03	1.744752e-03	1.493895e-03
C-22 sterol desaturase (NADP)	1.317551e-03	1.744752e-03	1.493895e-03
C-3 sterol dehydrogenase	1.317551e-03	1.744752e-03	1.493895e-03
C-3 sterol dehydrogenase (4-methylzymosterol)	1.317551e-03	1.744752e-03	1.493895e-03
C-3 sterol keto reductase (4-methylzymosterol)	1.317551e-03	1.744752e-03	1.493895e-03
C-3 sterol keto reductase (zymosterol)	1.317551e-03	1.744752e-03	1.493895e-03
C-4 methyl sterol oxidase	1.317551e-03	1.744752e-03	1.493895e-03
C-4 methyl sterol oxidase	1.317551e-03	1.744752e-03	1.493895e-03
C-4 methyl sterol oxidase	1.317551e-03	1.744752e-03	1.493895e-03
C-4 sterol methyl oxidase (4,4-dimethylzymosterol)	1.317551e-03	1.744752e-03	1.493895e-03
C-5 sterol desaturase	1.317551e-03	1.744752e-03	1.493895e-03
C-8 sterol isomerase	1.317551e-03	1.744752e-03	1.493895e-03
C-s24 sterol reductase	1.317551e-03	1.744752e-03	1.493895e-03
carbamoyl-phosphate synthase (glutamine-hydrolysing)	0	0	0
carnitine O-acetyltransferase	0	0	0
carnitine O-acetyltransferase	0	0	0
carnitine O-acetyltransferase	0	0	0
catalase	0	0	0
catalase	0	0	0
ceramide-1 hydroxylase (24C)	0	0	0
ceramide-1 hydroxylase (24C)	0	0	0
ceramide-1 hydroxylase (26C)	0	0	0
ceramide-1 hydroxylase (26C)	0	0	0
ceramide-1 synthase (24C)	0	0	0
ceramide-1 synthase (26C)	0	0	0
ceramide-2 synthase (24C)	0	0	0
ceramide-2 synthase (26C)	0	0	0
ceramide-3 synthase (24C)	0	0	0
ceramide-3 synthase (26C)	0	0	0
ceramide-4 synthase (24C)	0	0	0
ceramide-4 synthase (26C)	0	0	0
chitin deacetylase	0	0	0
chitin synthase	0	0	0
choline kinase	0	0	0
choline phosphate cytididyltransferase	0	0	0
chorismate mutase	0	0	0
chorismate synthase	0	0	0
cis-aconitate(3-) to isocitrate	0	0	0
cis-prenyltransferase step 01	0	0	0
cis-prenyltransferase step 02	0	0	0
cis-prenyltransferase step 03	0	0	0
cis-prenyltransferase step 04	0	0	0
cis-prenyltransferase step 05	0	0	0
cis-prenyltransferase step 06	0	0	0
cis-prenyltransferase step 07	0	0	0
cis-prenyltransferase step 08	0	0	0
cis-prenyltransferase step 09	0	0	0
cis-prenyltransferase step 10	0	0	0
cis-prenyltransferase step 11	0	0	0
cis-prenyltransferase step 12	0	0	0
cis-prenyltransferase step 13	0	0	0
cis-prenyltransferase step 14	0	0	0
cis-prenyltransferase step 15	0	0	0
cis-prenyltransferase step 16	0	0	0
cis-prenyltransferase step 17	0	0	0
cis-prenyltransferase step 18	0	0	0
cis-prenyltransferase step 19	0	0	0
citrate synthase	6.247586e-02	8.564578e-02	0
citrate synthase, peroxisomal	0	0	0
citrate to cis-aconitate(3-)	0	0	0
citrate to cis-aconitate(3-), cytoplasmic	0	0	0
coproporphyrinogen oxidase (O2 required)	0	0	0
CTP synthase (glutamine)	0	0	0
CTP synthase (NH3)	0	0	0
cystathionine b-lyase	0	0	0
cystathionine beta-synthase	0	0	0
cystathionine g-lyase	0	0	0
cystathionine gamma-synthase	0	0	0
cysteine synthase	0	0	0
cysteinyl-tRNA synthetase	0	0	0
cytidine kinase (GTP)	0	0	0
cytochrome P450 lanosterol 14-alpha-demethylase (NADP)	1.317551e-03	1.744752e-03	1.493895e-03
cytosine deaminase	0	0	0
D-arabinono-1,4-lactone oxidase	0	0	0
D-arabinose 1-dehydrogenase (NAD)	0	0	0
D-arabinose 1-dehydrogenase (NADP)	0	0	0
D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	0	0	0
D-sorbitol dehydrogenase (D-fructose producing)	0	0	0
dCMP deaminase	0	0	0
dCTP deaminase	0	0	0
deoxyadenosine deaminase	0	0	0
deoxyguanylate kinase (dGMP:ATP)	0	0	0
deoxyhypusine synthase, cytosolic/mitochondrial	0	0	0
deoxyribokinase	0	0	0
dephospho-CoA kinase	0	0	0
dihydrofolate reductase	0	0	0
dihydrofolate reductase	0	0	0
dihydrofolate synthase	0	0	0
dihydroneopterin aldolase	0	0	0
dihydroneopterin monophosphate dephosphorylase	0	0	0
dihydroorotase	0	0	0
dihydropteroate synthase	0	0	0
dihydropteroate synthase	0	0	0
dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0	0	0
dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	0	0	0
dihydroxyacetone kinase	0	3.333333e-01	0
dimethylallyltranstransferase	2.635102e-03	3.489504e-03	2.987791e-03
diphosphoglyceromutase	0	0	0
diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	0	0	0
diphthine synthase	0	0	0
dolichol kinase	0	0	0
dolichyl-phosphate D-mannosyltransferase	0	0	0
dolichyl-phosphate-mannose--protein mannosyltransferase	0	0	0
dTMP kinase	0	0	0
dUTP diphosphatase	0	0	0
endopolygalacturonase	0	0	0
enolase	8.618489e-02	1.269952e-01	7.420698e-03
ethanolamine kinase	0	0	0
ethyl acetate-hydrolyzing esterase	0	0	0
exo-1,3-beta-glucan glucohydrase	0	0	0
farnesyltranstransferase	0	0	0
fatty-acid--CoA ligase (decanoate)	0	0	0
fatty-acid--CoA ligase (dodecanoate)	0	0	0
fatty-acid--CoA ligase (hexadecanoate)	0	0	0
fatty-acid--CoA ligase (octanoate)	0	0	0
fatty-acid--CoA ligase (tetradecanoate)	0	0	0
ferrochelatase	0	0	0
ferrocytochrome-c:hydrogen-peroxide oxidoreductase	0	0	0
ferrocytochrome-c:oxygen oxidoreductase	7.844465e-01	4.085061e-01	3.540678e-01
ubiquinol:ferricytochrome c reductase	3.922233e-01	2.042531e-01	1.770339e-01
FMN adenylyltransferase	0	0	0
formaldehyde dehydrogenase	0	0	0
formate dehydrogenase	1.317551e-03	1.744752e-03	0
formate-tetrahydrofolate ligase	0	0	1.493895e-03
formate-tetrahydrofolate ligase	0	0	0
fructose-2,6-bisphosphate 2-phosphatase	0	0	0
fructose-bisphosphatase	0	1.940424e-01	1.827975e-01
fructose-bisphosphate aldolase	0	-1.940424e-01	-1.827975e-01
fumarase	6.247586e-02	0	0
fumarase, cytoplasmic	0	0	0
dihydoorotic acid dehydrogenase	0	0	0
fumarate reductase	0	0	0
soluble fumarate reductase	0	0	0
g-glutamyltransferase	0	0	0
galactokinase	0	0	0
galactose-1-phosphate uridylyltransferase	0	0	0
gamma-glutamylcysteine synthetase	0	0	0
geranyltranstransferase	2.635102e-03	3.489504e-03	2.987791e-03
glucan 1,4-alpha-glucosidase	0	0	0
glucose 6-phosphate dehydrogenase	2.335112e-01	1.375858e-01	3.651374e-01
glucose-6-phosphate isomerase	-2.337272e-01	-1.378719e-01	-3.653823e-01
glutamate 5-kinase	0	0	0
glutamate decarboxylase	0	0	0
glutamate dehydrogenase (NAD)	0	0	0
glutamate dehydrogenase (NADP)	2.761292e-03	3.656610e-03	2.383923e-03
glutamate synthase (NADH2)	0	0	0
glutamate-5-semialdehyde dehydrogenase	0	0	0
glutaminase	0	0	0
glutamine synthetase	0	0	0
glutamine-fructose-6-phosphate transaminase	0	0	0
glutaminyl-tRNA synthetase	0	0	0
glutamyl-tRNA synthetase	0	0	0
glutamyl-tRNA synthetase	0	0	0
glutathione oxidoreductase	0	0	0
glutathione oxidoreductase	0	0	0
glutathione peridoxase	0	0	0
glutathione peroxidase, mitochondria	0	0	0
glutathione synthetase	0	0	0
glyceraldehyde-3-phosphate dehydrogenase	8.894618e-02	1.306518e-01	9.804622e-03
glycerol dehydrogenase (NADP-dependent)	0	3.333333e-01	0
glycerol kinase	0	0	0
glycerol-3-phosphatase	0	0	0
glycerol-3-phosphate dehydrogenase (fad)	0	0	0
glycerol-3-phosphate dehydrogenase (NAD)	6.307637e-03	8.323123e-03	7.152898e-03
glycerol-3-phosphate dehydrogenase (NAD)	0	2.988881e-05	0
glycinamide ribotide transformylase	0	0	0
glycine cleavage system	1.197546e-03	1.585836e-03	6.108807e-04
glycine hydroxymethyltransferase	2.395091e-03	3.171673e-03	1.221761e-03
glycine hydroxymethyltransferase	-1.197546e-03	-1.585836e-03	-6.108807e-04
glycine-cleavage complex (lipoamide)	0	0	0
glycine-cleavage complex (lipoamide)	6.247586e-02	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0
glycine-cleavage complex (lipoylprotein)	0	0	0
glycine-cleavage system (lipoamide)	0	0	0
glycogen (starch) synthase	0	0	0
glycogen phosphorylase	0	0	0
glycyl-tRNA synthetase	0	0	0
GMP synthase	0	0	0
GPI-anchor assembly, step 2	0	0	0
GPI-anchor assembly, step 6	0	0	0
GPI-anchor assembly, step 7	0	0	0
GPI-anchor assembly, step 9	0	0	0
GTP cyclohydrolase I	0	0	0
GTP cyclohydrolase II	0	0	0
guanine deaminase	0	0	0
guanine phosphoribosyltransferase	0	0	0
guanylate kinase	0	0	0
guanylate kinase (GMP:dATP)	0	0	0
heme O monooxygenase	0	0	0
Heme O synthase	0	0	0
hexaprenyldihydroxybenzoate methyltransferase	0	0	0
hexokinase (D-fructose:ATP)	0	0	0
hexokinase (D-glucose:ATP)	0	0	0
hexokinase (D-mannose:ATP)	0	0	0
histidinol dehydrogenase	0	0	0
histidinol-phosphatase	0	0	0
histidinol-phosphate transaminase	0	0	0
histidyl-tRNA synthetase	0	0	0
histidyl-tRNA synthetase	0	0	0
hnRNP arginine N-methyltransferase	0	0	0
homoacontinate hydratase	0	0	0
homocitrate synthase	0	0	0
homocysteine S-methyltransferase	0	0	0
homoisocitrate dehydrogenase	0	0	0
homoserine dehydrogenase (NADH)	0	0	0
homoserine dehydrogenase (NADP)	0	0	0
homoserine kinase	0	0	0
homoserine O-trans-acetylase	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0
hydrogen peroxide reductase (thioredoxin)	0	0	0
hydroxyacylglutathione hydrolase	0	0	0
hydroxyacylglutathione hydrolase	0	0	0
hydroxybenzoate octaprenyltransferase	0	0	0
hydroxyethylthiazole kinase	0	0	0
hydroxymethylbilane synthase	0	0	0
hydroxymethylglutaryl CoA reductase	7.905305e-03	1.046851e-02	8.963373e-03
hydroxymethylglutaryl CoA synthase	2.293194e-06	0	6.489807e-03
hydroxymethylglutaryl CoA synthase	7.903012e-03	1.046851e-02	2.473566e-03
hydroxymethylpyrimidine kinase (ATP)	0	0	0
hypoxanthine phosphoribosyltransferase (Hypoxanthine)	0	0	0
Imidazole-glycerol-3-phosphate synthase	0	0	0
imidazoleglycerol-phosphate dehydratase	0	0	0
IMP dehydrogenase	0	0	0
indole-3-glycerol-phosphate synthase	0	0	0
indole-3-pyruvate decarboxylase	0	0	0
inorganic diphosphatase	0	0	0
inorganic diphosphatase	5.121253e-01	2.600071e-02	1.374822e-02
inosine monophosphate cyclohydrolase	0	0	0
inositol-1,3,4,5-triphosphate 6-kinase, nucleus	0	0	0
inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus	0	0	0
inositol-1,4,5-triphosphate 6-kinase, nucleus	0	0	0
inositol-1,4,5-trisphosphate 3-kinase, nucleus	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
IPS phospholipase C	0	0	0
isoamyl acetate-hydrolyzing esterase	0	0	0
isobutyl acetate-hydrolyzing esterase	0	0	0
isocitrate dehydrogenase (NAD+)	6.247586e-02	0	0
isocitrate dehydrogenase (NADP)	0	0	0
isocitrate dehydrogenase (NADP+), peroxisomal	0	0	0
isocitrate lyase	0	0	0
isoleucine transaminase	0	0	0
isoleucine transaminase	0	0	0
isoleucyl-tRNA synthetase	0	0	0
isoleucyl-tRNA synthetase	0	0	0
isopentenyl-diphosphate D-isomerase	2.635102e-03	3.489504e-03	2.987791e-03
itaconate-CoA ligase (ADP-forming)	0	0	0
ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)	0	0	0
kynureninase	0	0	0
kynurenine 3-monooxygenase	0	0	0
L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase	0	0	0
L-4-hydroxyglutamate semialdehyde dehydrogenase	0	0	0
L-alanine transaminase	0	0	0
L-allo-threonine aldolase	0	0	0
L-allo-threonine dehydrogenase	0	0	0
L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0	0	0
L-asparaginase	0	0	0
L-asparaginase	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0
L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	0	0	0
L-hydroxyproline reductase (NADP)	0	0	0
L-lactaldehyde:NADP+ 1-oxidoreductase	0	0	0
L-serine deaminase	0	0	0
L-serine dehydrogenase	0	0	0
L-sorbitol dehydrogenase (L-sorbose-producing)	0	0	0
L-threonine deaminase	0	0	0
L-threonine deaminase	0	0	0
L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)	0	0	0
lactaldehyde dehydrogenase	0	0	0
lactoylglutathione lyase	0	0	0
lanosterol synthase	1.317551e-03	1.744752e-03	1.493895e-03
leucine transaminase	0	0	0
leucine transaminase	0	0	0
leucyl-tRNA synthetase	0	0	0
leukotriene A4 hydrolase	0	0	0
leukotriene A4 hydrolase	0	0	0
leukotriene A4 hydrolase	0	0	0
leukotriene A4 hydrolase	0	0	0
leukotriene A4 hydrolase	0	0	0
leukotriene A4 hydrolase	0	0	0
lysyl-tRNA synthetase	0	0	0
lysyl-tRNA synthetase	0	0	0
malate dehydrogenase	1.174133e-01	8.564578e-02	1.690023e-01
malate dehydrogenase, cytoplasmic	-5.493741e-02	-8.564578e-02	-1.690023e-01
malate dehydrogenase, peroxisomal	0	0	0
malate synthase	0	0	0
malate synthase	0	0	0
malic enzyme (NAD)	0	0	0
malic enzyme (NADP)	0	0	0
mannose-1-phosphate guanylyltransferase	0	0	0
mannose-6-phosphate isomerase	0	0	0
methenyltetrahydrifikate cyclohydrolase	0	0	0
methenyltetrahydrofolate cyclohydrolase	0	0	-1.493895e-03
methionine adenosyltransferase	2.395091e-03	3.171673e-03	2.715657e-03
methionine synthase	2.395091e-03	3.171673e-03	2.715657e-03
methionyl-tRNA synthetase	0	0	0
methionyl-tRNA synthetase	0	0	0
methylenetetrahydrofolate dehydrogenase (NAD)	0	0	0
methylenetetrahydrofolate dehydrogenase (NADP)	0	0	-1.493895e-03
methylenetetrahydrofolate dehydrogenase (NADP)	0	0	0
methylisocitrate lyase	0	0	0
mevalonate kinase (atp)	7.905305e-03	1.046851e-02	8.963373e-03
mevalonate kinase (ctp)	0	0	0
mevalonate kinase (gtp)	0	0	0
mevalonate kinase (UTP)	0	0	0
mevalonate pyrophoshate decarboxylase	7.905305e-03	1.046851e-02	8.963373e-03
myo-inositol 1-phosphatase	2.160444e-04	2.860943e-04	2.449604e-04
myo-inositol-1-phosphate synthase	2.160444e-04	2.860943e-04	2.449604e-04
N-acetyl-g-glutamyl-phosphate reductase	0	0	0
N-acetylglucosamine-6-phosphate synthase	0	0	0
N-acteylglutamate synthase	0	0	0
NAD diphosphatase	0	0	0
NAD kinase	0	0	0
NAD kinase	0	0	0
NAD nucleosidase nuclear	0	0	0
