reaction	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	1.606910e-03	1.136066e-02	1.845197e-02	2.390836e-02	5.666908e-03	3.937644e-02	4.564199e-02	8.742287e-02	8.954702e-05	1.795465e-03	1.322316e-02	2.107440e-02
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-bisphosphate nucleotidase	3.102343e-04	2.193320e-03	3.562386e-03	4.615811e-03	1.094068e-03	7.602119e-03	8.811764e-03	1.687809e-02	1.728818e-05	3.466373e-04	2.552898e-03	4.068680e-03
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0
3,4-dihydroxy-2-butanone-4-phosphate synthase	1.737450e-05	1.196910e-04	1.660230e-04	2.200770e-04	5.984550e-05	3.127410e-04	3.436290e-04	4.498065e-04	1.544400e-06	1.351350e-05	1.040539e-04	1.737450e-04
3-dehydroquinate dehydratase	1.433153e-03	1.013223e-02	1.645674e-02	2.132313e-02	5.054141e-03	3.511863e-02	4.070669e-02	7.796977e-02	7.986423e-05	1.601320e-03	1.179333e-02	1.879561e-02
3-dehydroquinate synthase	1.433153e-03	1.013223e-02	1.645674e-02	2.132313e-02	5.054141e-03	3.511863e-02	4.070669e-02	7.796977e-02	7.986423e-05	1.601320e-03	1.179333e-02	1.879561e-02
3-dehydrosphinganine reductase	0	0	0	0	0	0	0	0	0	0	0	0
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0	0	0	0	0	0	0	0	0	0	0	0
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxy-L-kynurenine hydrolase	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxyanthranilate 3,4-dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate 3-methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
3-isopropylmalate dehydratase	-1.606910e-03	-1.136066e-02	-1.845197e-02	-2.390836e-02	-5.666908e-03	-3.937644e-02	-4.564199e-02	-8.742287e-02	-8.954702e-05	-1.795465e-03	-1.322316e-02	-2.107440e-02
3-isopropylmalate dehydrogenase	1.606910e-03	1.136066e-02	1.845197e-02	2.390836e-02	5.666908e-03	3.937644e-02	4.564199e-02	8.742287e-02	8.954702e-05	1.795465e-03	1.322316e-02	2.107440e-02
3-methyl-2-oxobutanoate decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0
3-methyl-2-oxobutanoate hydroxymethyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
3-methyl-2-oxopentanoate decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0
3-phosphoshikimate 1-carboxyvinyltransferase	1.433153e-03	1.013223e-02	1.645674e-02	2.132313e-02	5.054141e-03	3.511863e-02	4.070669e-02	7.796977e-02	7.986423e-05	1.601320e-03	1.179333e-02	1.879561e-02
4-amino-4-deoxychorismate synthase	0	0	0	0	0	0	0	0	0	0	0	0
4-aminobenzoate synthase	0	0	0	0	0	0	0	0	0	0	0	0
4-aminobutyrate transaminase	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxy-L-threonine synthase	0	0	0	0	0	0	0	0	0	0	0	0
4-methyl-2-oxopentanoate decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0
4PP-IP5 depyrophosphorylation to IP6	0	0	0	0	0	0	0	0	0	0	0	0
5'-methylthioadenosine phosphorylase	0	0	0	0	0	0	0	0	0	0	0	0
5'-nucleotidase (CMP)	0	0	0	0	0	0	0	0	0	0	0	0
5'-nucleotidase (UMP)	0	0	0	0	0	0	0	0	0	0	0	0
5'-phosphoribosylformyl glycinamidine synthetase	8.013681e-04	5.520536e-03	7.657518e-03	1.015066e-02	2.760268e-03	1.442463e-02	1.584928e-02	2.074653e-02	7.123272e-05	6.232863e-04	4.799304e-03	8.013681e-03
5,10-methylenetetrahydrofolate reductase (NADPH)	8.768875e-04	5.275082e-03	7.591734e-03	8.783237e-03	2.753907e-03	1.739548e-02	1.719620e-02	2.669135e-02	7.401983e-05	7.519233e-04	5.221400e-03	7.857701e-03
5-aminolevulinate synthase	7.020000e-08	4.836000e-07	6.708000e-07	8.892000e-07	2.418000e-07	1.263600e-06	1.388400e-06	1.817400e-06	0	5.460000e-08	4.204200e-07	7.020000e-07
5-formethyltetrahydrofolate cyclo-ligase	0	0	0	0	0	0	0	0	0	0	0	0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	0	0	0	0	0	0	0	0	0	0	0	0
5-methylthioribose-1-phosphate isomerase	0	0	0	0	0	0	0	0	0	0	0	0
5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0	0	0	0	0	0	0	0	0	0	0	0
5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	0	0	0	0	0	0	0	0	0	0	0	0
6-phosphofructo-2-kinase	0	0	0	0	0	0	0	0	0	0	0	0
6-phosphogluconolactonase	1.365442e-01	7.452047e-01	1.015687e+00	1.037900e+00	0	0	0	0	2.183432e-02	1.914768e-01	1.997119e+00	2.711918e+00
6PP-IP5 depyrophosphorylation to IP6	0	0	0	0	0	0	0	0	0	0	0	0
acetaldehyde condensation	0	0	0	0	0	0	0	0	0	0	0	0
acetohydroxy acid isomeroreductase	3.041246e-03	2.150125e-02	3.492230e-02	4.524909e-02	1.072522e-02	7.452406e-02	8.638227e-02	1.654570e-01	1.694772e-04	3.398107e-03	2.502622e-02	3.988552e-02
acetolactate synthase	3.041246e-03	2.150125e-02	3.492230e-02	4.524909e-02	1.072522e-02	7.452406e-02	8.638227e-02	1.654570e-01	1.694772e-04	3.398107e-03	2.502622e-02	3.988552e-02
acetyl-CoA ACP transacylase	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acyltransferase (palmitoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acyltransferase (myristoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acetyltransferase	2.714045e-03	1.380431e-02	1.803375e-02	1.678913e-02	7.614116e-03	4.780342e-02	3.858352e-02	4.721236e-02	2.723416e-04	1.970770e-03	1.238173e-02	1.654054e-02
acetyl-CoA C-acyltransferase (lauroyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acyltransferase (octanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA C-acyltransferase (decanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-Coa carboxylase	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA carboxylase, reaction	1.125457e-01	5.793486e-01	7.589834e-01	7.211303e-01	3.181981e-01	1.983787e+00	1.621374e+00	1.990478e+00	1.124911e-02	8.191878e-02	5.188912e-01	7.009022e-01
acetyl-CoA hydrolase	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA synthetase	5.257943e-01	3.095191e+00	4.455978e+00	4.125589e+00	1.094068e-03	7.602119e-03	8.811764e-03	1.687809e-02	1.728818e-05	3.466373e-04	2.552898e-03	4.068680e-03
acetyl-CoA synthetase	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-CoA synthetase nuclear	0	0	0	0	0	0	0	0	0	0	0	0
acetylglutamate kinase	8.365552e-02	6.160662e-03	1.000613e-02	1.296503e-02	2.408171e-01	2.135306e-02	2.475074e-02	4.740768e-02	4.855956e-05	9.736451e-04	8.001173e-01	8.023020e-01
acid phosphatase (secreted)	0	0	0	0	0	0	0	0	0	0	0	0
aconitase	0	0	0	0	0	0	0	0	0	0	0	0
acteylornithine transaminase	8.365552e-02	6.160662e-03	1.000613e-02	1.296503e-02	2.408171e-01	2.135306e-02	2.475074e-02	4.740768e-02	4.855956e-05	9.736451e-04	8.001173e-01	8.023020e-01
acyl-CoA oxidase (decanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA oxidase (dodecanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA oxidase (hexacosanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA oxidase (hexadecanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA oxidase (octadecanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA oxidase (tetradecanoyl-CoA)	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	0	0	0	0	0	0	0	0	0	0	0	0
acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	0	0	0	0	0	0	0	0	0	0	0	0
adenine deaminase	0	0	0	0	0	0	0	0	0	0	0	0
adenine phosphoribosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
adenosine deaminase	0	0	0	0	0	0	0	0	0	0	0	0
adenosine kinase	6.022440e-04	3.333385e-03	4.438033e-03	4.696962e-03	1.785353e-03	1.066549e-02	9.395339e-03	1.174955e-02	5.871499e-05	4.450530e-04	2.961376e-03	4.255789e-03
adenosine monophosphate deaminase	0	0	0	0	0	0	0	0	0	0	0	0
adenosylhomocysteinase	6.022440e-04	3.333385e-03	4.438033e-03	4.696962e-03	1.785353e-03	1.066549e-02	9.395339e-03	1.174955e-02	5.871499e-05	4.450530e-04	2.961376e-03	4.255789e-03
adenosylmethionine decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0
adenosylmethionine-8-amino-7-oxononanoate transaminase	0	0	0	0	0	0	0	0	0	0	0	0
adenylate cyclase	0	0	0	0	0	0	0	0	0	0	0	0
adenylate kinase	5.526605e-01	3.283823e+00	4.757903e+00	4.516350e+00	9.532696e-02	6.480187e-01	7.458534e-01	1.396857e+00	1.610124e-03	2.941534e-02	2.168749e-01	3.692278e-01
adenylate kinase	0	0	0	0	0	0	0	0	0	0	0	0
adenylate kinase (GTP)	0	0	0	0	0	0	0	0	0	0	0	0
adenylosuccinate lyase (AICAR)	8.013681e-04	5.520536e-03	7.657518e-03	1.015066e-02	2.760268e-03	1.442463e-02	1.584928e-02	2.074653e-02	7.123272e-05	6.232863e-04	4.799304e-03	8.013681e-03
adenylosuccinate lyase	7.610724e-04	5.308005e-03	7.965283e-03	1.043532e-02	2.650999e-03	1.603744e-02	1.815301e-02	2.995368e-02	5.573000e-05	7.140068e-04	5.363202e-03	8.730414e-03
adenylosuccinate synthase	7.610724e-04	5.308005e-03	7.965283e-03	1.043532e-02	2.650999e-03	1.603744e-02	1.815301e-02	2.995368e-02	5.573000e-05	7.140068e-04	5.363202e-03	8.730414e-03
adenylyl-sulfate kinase	3.102343e-04	2.193320e-03	3.562386e-03	4.615811e-03	1.094068e-03	7.602119e-03	8.811764e-03	1.687809e-02	1.728818e-05	3.466373e-04	2.552898e-03	4.068680e-03
alanine glyoxylate aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0
alanyl-tRNA synthetase	2.487217e-03	1.758433e-02	2.856044e-02	3.700598e-02	8.771389e-03	6.094788e-02	7.064586e-02	1.353154e-01	1.386032e-04	2.779068e-03	2.046715e-02	3.261951e-02
alcohol dehydrogenase (ethanol to acetaldehyde)	0	0	0	0	0	0	0	0	0	0	0	0
alcohol dehydrogenase (glycerol, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
mitochondrial alcohol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-methylbutanol, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (2-phenylethanol, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (3-aminopropanal, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (acetaldehyde, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (acetylaldehyde, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (acetylaldehyde, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isoamyl alcohol, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (isobutyl alcohol, NADP)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
aldehyde dehydrogenase (tryptophol, NAD)	0	0	0	0	0	0	0	0	0	0	0	0
alkaline phosphatase (dihydroneopterin)	0	0	0	0	0	0	0	0	0	0	0	0
allantoate amidinohydrolase	0	0	0	0	0	0	0	0	0	0	0	0
allantoinase, reaction	0	0	0	0	0	0	0	0	0	0	0	0
allophanate hydrolase	0	0	0	0	0	0	0	0	0	0	0	0
alpha 1,2-mannosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
alpha,alpha-trehalase	0	0	0	0	0	0	0	0	0	0	0	0
alpha,alpha-trehalase	0	0	0	0	0	0	0	0	0	0	0	0
alpha,alpha-trehalose-phosphate synthase (UDP-forming)	4.885853e-04	5.944522e-03	7.728640e-03	1.417314e-02	2.826547e-03	6.161905e-03	1.305431e-02	6.105038e-03	4.660009e-05	1.819599e-04	3.194528e-03	8.039290e-03
alpha-glucosidase	0	0	0	0	0	0	0	0	0	0	0	0
amidase	0	0	0	0	0	0	0	0	0	0	0	0
Aminobutyraldehyde dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0
anthranilate phosphoribosyltransferase	1.542270e-04	1.090367e-03	1.770972e-03	2.294662e-03	5.438952e-04	3.779249e-03	4.380600e-03	8.390621e-03	8.594490e-06	1.723241e-04	1.269125e-03	2.022666e-03
anthranilate synthase	1.542270e-04	1.090367e-03	1.770972e-03	2.294662e-03	5.438952e-04	3.779249e-03	4.380600e-03	8.390621e-03	8.594490e-06	1.723241e-04	1.269125e-03	2.022666e-03
Ap4A hydrolase	0	0	0	0	0	0	0	0	0	0	0	0
arabinose reductase	0	0	0	0	0	0	0	0	0	0	0	0
arginase	0	0	0	0	0	0	0	0	0	0	0	2.307935e-02
argininosuccinate lyase	8.713951e-04	6.160662e-03	1.000613e-02	1.296503e-02	3.073052e-03	2.135306e-02	2.475074e-02	4.740768e-02	4.855956e-05	9.736451e-04	7.170656e-03	3.450758e-02
argininosuccinate synthase	8.713951e-04	6.160662e-03	1.000613e-02	1.296503e-02	3.073052e-03	2.135306e-02	2.475074e-02	4.740768e-02	4.855956e-05	9.736451e-04	7.170656e-03	3.450758e-02
arginyl-tRNA synthetase	8.713951e-04	6.160662e-03	1.000613e-02	1.296503e-02	3.073052e-03	2.135306e-02	2.475074e-02	4.740768e-02	4.855956e-05	9.736451e-04	7.170656e-03	1.142823e-02
arginyl-tRNA synthetase	0	0	0	0	0	0	0	0	0	0	0	0
asparagine synthase (glutamine-hydrolysing)	5.510584e-04	3.895918e-03	6.327743e-03	8.198906e-03	1.943356e-03	1.350338e-02	1.565203e-02	2.997997e-02	3.070840e-05	6.157199e-04	4.534625e-03	7.227056e-03
Asparaginyl-tRNA synthetase	5.510584e-04	3.895918e-03	6.327743e-03	8.198906e-03	1.943356e-03	1.350338e-02	1.565203e-02	2.997997e-02	3.070840e-05	6.157199e-04	4.534625e-03	7.227056e-03
asparaginyl-tRNA synthetase, miotchondrial	0	0	0	0	0	0	0	0	0	0	0	0
aspartate carbamoyltransferase	8.940233e-04	6.158827e-03	8.542890e-03	1.132430e-02	3.079414e-03	1.609242e-02	1.768180e-02	2.314527e-02	7.946874e-05	6.953515e-04	5.354206e-03	8.940234e-03
aspartate kinase	2.356695e-03	1.666156e-02	2.706167e-02	3.506401e-02	8.311091e-03	5.774950e-02	6.693857e-02	1.282144e-01	1.313297e-04	2.633230e-03	1.939309e-02	3.090773e-02
aspartate transaminase	2.572631e-01	1.012457e+00	1.582348e+00	1.130575e+00	9.211056e-01	2.723140e+00	5.632922e+00	1.313685e+01	2.076163e-02	2.395469e-01	4.768757e+00	5.394343e+00
aspartate transaminase	2.651116e-01	1.067565e+00	1.668429e+00	1.242710e+00	9.486116e-01	2.901822e+00	5.837758e+00	1.350405e+01	2.126854e-02	2.476043e-01	4.828644e+00	5.513822e+00
aspartate transaminase	0	0	0	0	0	0	0	0	0	0	0	0
aspartate-semialdehyde dehydrogenase	2.356695e-03	1.666156e-02	2.706167e-02	3.506401e-02	8.311091e-03	5.774950e-02	6.693857e-02	1.282144e-01	1.313297e-04	2.633230e-03	1.939309e-02	3.090773e-02
Aspartyl-tRNA synthetase	1.612851e-03	1.140267e-02	1.852019e-02	2.399676e-02	5.687861e-03	3.952203e-02	4.581075e-02	8.774611e-02	8.987811e-05	1.802104e-03	1.327205e-02	2.115232e-02
ATP adenylyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
ATP phosphoribosyltransferase	3.594670e-04	2.541390e-03	4.127720e-03	5.348319e-03	1.267692e-03	8.808540e-03	1.021015e-02	1.955657e-02	2.003174e-05	4.016470e-04	2.958031e-03	4.714360e-03
ATP synthase	1.671905e+00	1.173046e+01	2.072784e+01	1.298433e+01	6.776708e+00	1.671942e+01	2.659841e+01	4.919033e+01	1.381605e-01	1.539990e+00	1.927065e+01	2.081439e+01
ATPase, cytosolic	0	0	0	0	0	0	0	0	0	0	0	0
beta-1,4 mannosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
biotin synthase	0	0	0	0	0	0	0	0	0	0	0	0
biotin-[acetyl-CoA-carboxylase] ligase	0	0	0	0	0	0	0	0	0	0	0	0
C-14 sterol reductase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-22 sterol desaturase (NADP)	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-3 sterol dehydrogenase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-3 sterol dehydrogenase (4-methylzymosterol)	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-3 sterol keto reductase (4-methylzymosterol)	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-3 sterol keto reductase (zymosterol)	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-4 methyl sterol oxidase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-4 methyl sterol oxidase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-4 methyl sterol oxidase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-4 sterol methyl oxidase (4,4-dimethylzymosterol)	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-5 sterol desaturase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-8 sterol isomerase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
C-s24 sterol reductase	4.523365e-04	2.300688e-03	3.005582e-03	2.798133e-03	1.269004e-03	7.967158e-03	6.430500e-03	7.868613e-03	4.538987e-05	3.284582e-04	2.063596e-03	2.756713e-03
